Part,Value,Device,Package,Description,MPN,DKPN
C28,0.1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1E104K080AA,445-1316-1-ND
C29,,C-EUC0603,C0603,Ceramic Cap.,,
C30,,C-EUC0603,C0603,Ceramic Cap.,,
C31,,C-EUC0603,C0603,Ceramic Cap.,,
C32,47uF,C-USC1206,C1206,Tantalum Cap.,T520A476M004ATE070,399-4714-1-ND
C33,47uF,C-USC1206,C1206,Tantalum Cap.,T520A476M004ATE070,399-4714-1-ND
C34,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
C35,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
C36,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
C37,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
C38,4.7uF,C-USC1206,C1206,Tantalum Cap.,TR3A475K010C1400,718-1757-1-ND
C39,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
C40,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
C41,0.1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1E104K080AA,445-1316-1-ND
C42,0.1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1E104K080AA,445-1316-1-ND
C43,0.1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1E104K080AA,445-1316-1-ND
C44,0.1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1E104K080AA,445-1316-1-ND
C45,0.1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1E104K080AA,445-1316-1-ND
C46,1uF,C-EUC0603,C0603,Ceramic Cap.,C1608X7R1C105K080AC,445-1604-1-ND
EXT_PWR,-,LEDCHIPLED_0805,L0805,SMD LED,598-8140-107F,350-2041-1-ND
PWR,-,LEDCHIPLED_0805,L0805,SMD LED,598-8170-107F,350-2044-1-ND
PWR_EXT,-,PINHD-1X3,1X03,"0.1 Inch pitch, male header",3M9468-ND,961103-5604-AR
R1,20k,R-US_R0603,R0603,SMD Resistor,MCT06030C2002FP500,MCT0603-20.0K-CFCT-ND
R2,20k,R-US_R0603,R0603,SMD Resistor,MCT06030C2002FP500,MCT0603-20.0K-CFCT-ND
R3,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R4,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R5,20k,R-US_R0603,R0603,SMD Resistor,MCT06030C2002FP500,MCT0603-20.0K-CFCT-ND
R6,20k,R-US_R0603,R0603,SMD Resistor,MCT06030C2002FP500,MCT0603-20.0K-CFCT-ND
R7,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R8,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R9,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R10,20,R-US_R0603,R0603,SMD Resistor,RMCF0603FT20R0,RMCF0603FT20R0CT-ND
R11,20,R-US_R0603,R0603,SMD Resistor,RMCF0603FT20R0,RMCF0603FT20R0CT-ND
R12,20,R-US_R0603,R0603,SMD Resistor,RMCF0603FT20R0,RMCF0603FT20R0CT-ND
R13,20,R-US_R0603,R0603,SMD Resistor,RMCF0603JT20R0,RMCF0603JT20R0CT-ND
R14,10,R-US_R0603,R0603,SMD Resistor,RMCF0603JT10R0,RMCF0603JT10R0CT-ND
R15,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R16,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R17,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R18,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R19,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R20,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R21,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R22,10k,R-US_R0603,R0603,SMD Resistor,MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND
R23,,R-US_R0603,R0603,SMD Resistor,,
R24,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R25,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R26,,R-US_R0603,R0603,SMD Resistor,,
R27,,R-US_R0603,R0603,SMD Resistor,,
R28,,R-US_R0603,R0603,SMD Resistor,,
R29,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R30,100k,R-US_R0603,R0603,SMD Resistor,RMCF0603JT100K,RMCF0603JT100KCT-ND
R31,261k,R-US_R0603,R0603,SMD Resistor,P261KHCT-ND,ERJ-3EKF2613V
R32,2k,R-US_R0603,R0603,SMD Resistor,RMCF0603JT2K00,RMCF0603JT2K00CT-ND
R33,2k,R-US_R0603,R0603,SMD Resistor,RMCF0603JT2K00,RMCF0603JT2K00CT-ND
R34,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R35,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R36,10k,TRIM_US-M84W,M84W-TRIMMER,Trim Pot.,84PR10KLF,987-1152-ND
R37,4.75k,R-US_R0603,R0603,SMD Resistor,RMCF0603FT4K75,RMCF0603FT4K75CT-ND
R38,4.75k,R-US_R0603,R0603,SMD Resistor,RMCF0603FT4K75,RMCF0603FT4K75CT-ND
R39,4.75k,R-US_R0603,R0603,SMD Resistor,RMCF0603FT4K75,RMCF0603FT4K75CT-ND
R40,10k,R-US_R0603,R0603,SMD Resistor,CRCW060310K0JNEA,541-10KGCT-ND
R41,5.6k,R-US_R0603,R0603,SMD Resistor,RMCF0603JT5K60,RMCF0603JT5K60CT-ND
R42,5.6k,R-US_R0603,R0603,SMD Resistor,RMCF0603JT5K60,RMCF0603JT5K60CT-ND
RESET,SPST_TACT,SPST_TACT,EVQ-Q2-A,"SMT 6mm switch, EVQQ2 series",FSM4JSMA,450-1129-ND
U1,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U2,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U3,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U4,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U5,ADS8331,ADS8331IBPW,SOP65P640X120-24N,"16-bit, 4 channel ADC",ADS8331IBPW,296-28266-5-ND
U6,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U7,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U8,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U9,OPA365,OPA365AIDBVR,SOT95P280X145-5N,"Low-Distortion, High CMRR RRI/O Op Amp",OPA365AIDBVR,296-20645-1-ND
U10,AD5686,AD5686RARUZ,MO-153-AB,"16-bit, 4 channel DAC",AD5686ARUZ,AD5686ARUZ-ND
U11,LM2663,LM2663,SOIC127P600X175-8N,"200mA, switched Capacitor voltage interter",LM2663M/NOPB,LM2663M/NOPB-ND
U12,MAX1735,MAX1735EUK25+T,SOT95P280X145-5N,"200mA, Negative-Output, Low-Dropout Linear Regulator",MAX1735EUK25+T,MAX1735EUK25+TCT-ND
U13,TLV70245,TLV70025DDCR,SOT95P280X110-5N,"200mA, Postive-Output, Low-Dropout Linear Regulator",TLV70245DBVT,296-30480-1-ND
U14,REF5040,REF5040MDREP,SOIC127P600X175-8N,Precision voltage reference,REF5040MDREP,296-27431-1-ND
U15,AD8032,AD8032ARZ-REEL7,SOIC127P600X175-8N,2X RRI/O Op Amp,AD8032ARZ,AD8032ARZ-ND
U16,24C,CAT24C256WI-GT3,SO-08,Serial EEPROM,CAT24C256WI-GT3,CAT24C256WI-GT3OSCT-ND
